store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
East Memphis,,5007 Black Road,Space 110,Memphis,TN,38117,US,901 767 3178,35.1145866666667,-89.8949609090909,"monday 11:00am - 10:00pm, tuesday 11:00am - 10:00pm, wednesday 11:00am - 10:00pm, thursday 11:00am - 10:00pm, friday 11:00am - 11:00pm, saturday 11:00am - 11:00pm, sunday 12:00pm - 10:00pm",,,
Navy Pier,,600 East Grand Ave,,Chicago,IL,60611,US,,41.89211,-87.60986,"monday 10:00am - 8:00pm, tuesday 10:00am - 8:00pm, wednesday 10:00am - 8:00pm, thursday 10:00am - 8:00pm, friday 10:00am - 10:00pm, saturday 10:00am - 10:00pm, sunday 10:00am - 7:00pm",,,
Midway Airport,,5700 So Cicero,TC-10,Chicago,IL,60638,US,,41.7870703450853,-87.7414530742431,"monday 6:00am - 9:30pm, tuesday 6:00am - 9:30pm, wednesday 6:00am - 9:30pm, thursday 6:00am - 9:30pm, friday 6:00am - 9:30pm, saturday 6:00am - 9:30pm, sunday 6:00am - 9:30pm",,,
The Glen,,1860 Tower Drive,The Glen Town Center,Glenview,IL,60026,US,847 657 8474,42.0887519653283,-87.8240053154156,"monday 12:00pm - 9:00pm, tuesday 12:00pm - 9:00pm, wednesday 12:00pm - 9:00pm, thursday 12:00pm - 9:00pm, friday 12:00pm - 10:00pm, saturday 12:00pm - 10:00pm, sunday 12:00pm - 9:00pm",,,
Ann Arbor,,304 South State Street,,Ann Arbor,MI,48104,US,734 665 4440,42.279125,-83.74082,"monday 12:00pm - 10:30pm, tuesday 12:00pm - 10:30pm, wednesday 12:00pm - 10:30pm, thursday 12:00pm - 10:30pm, friday 12:00pm - 11:00pm, saturday 12:00pm - 11:00pm, sunday 12:00pm - 10:30pm",,,
Shoppers Drug Mart,,2125 FRONT ROAD,,LASALLE,,N9J 2C1,CA,,42.2281653964836,-83.1021788291622,"monday , tuesday , wednesday , thursday , friday , saturday , sunday ",,,
Busch Stadium - Events Only,,405 S Broadway,,St Louis,MO,63102,US,,38.6222234831461,-90.1913105617977,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Dayton,,1934 Brown Street,,Dayton,OH,45409,US,937 461 1888,39.7340126530612,-84.1805028571429,"monday 12:00pm - 10:00pm, tuesday 12:00pm - 10:00pm, wednesday 12:00pm - 10:00pm, thursday 12:00pm - 10:00pm, friday 12:00pm - 11:00pm, saturday 12:00pm - 11:00pm, sunday 12:00pm - 10:00pm",,,
Shoppers Drug Mart,,199 SANDWICH  ST. S,,AMHERSTBURG,,N9V 1Z9,CA,,42.1039530736413,-83.1097296197131,"monday , tuesday , wednesday , thursday , friday , saturday , sunday ",,,
Shoppers Drug Mart,,199    SANDWICH  ST. S,,AMHERSTBURG,,N9V 1Z9,CA,,42.1039530736413,-83.1097296197131,"monday , tuesday , wednesday , thursday , friday , saturday , sunday ",,,
Shoppers Drug Mart,,199 SANDWICH  ST. S,,AMHERSTBURG,,N9V 1Z9,CA,,42.1039530736413,-83.1097296197131,"monday , tuesday , wednesday , thursday , friday , saturday , sunday ",,,
WAL-MART,,400 SANDWICH ST S,,AMHERSTBURG,ON,,CA,,42.09741,-83.10814,"monday , tuesday , wednesday , thursday , friday , saturday , sunday ",,,
Walmart,,400 SANDWICH ST S,,AMHERSTBURG,,N9V 3L4,CA,,42.09741,-83.10814,"monday , tuesday , wednesday , thursday , friday , saturday , sunday ",,,
U. City,,6380 Delmar Boulevard,,University City,MO,63130,US,314 721 8887,38.6558849473254,-90.3040490518566,"monday 12:00pm - 10:00pm, tuesday 12:00pm - 10:00pm, wednesday 12:00pm - 10:00pm, thursday 12:00pm - 10:00pm, friday 12:00pm - 11:00pm, saturday 12:00pm - 11:00pm, sunday 12:00pm - 10:00pm",,,
